gid,decision,committing_side,disadvantaged_side,call_type,season,playoff,period,time,time2,time_min,time_sec,date,home,away,home_team,away_team
21400918,CC,,,Instant Replay: Overturn Ruling,2015,0,Q4,00:51.8,0.8633333333333333,0,51.8,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,away,home,Foul: Personal,2015,0,Q4,00:46.8,0.7799999999999999,0,46.8,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,away,home,Foul: Personal,2015,0,Q4,00:23.0,0.3833333333333333,0,23.0,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,INC,away,,Turnover: 5 Second Inbound,2015,0,Q4,00:23.0,0.3833333333333333,0,23.0,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,away,home,Foul: Personal,2015,0,Q4,00:18.7,0.3116666666666666,0,18.7,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:13.1,0.2183333333333333,0,13.1,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,away,home,Foul: Personal,2015,0,Q4,00:13.1,0.2183333333333333,0,13.1,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,home,away,Foul: Personal,2015,0,Q4,00:09.5,0.1583333333333333,0,9.5,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,IC,home,away,Foul: Loose Ball,2015,0,Q4,00:05.9,0.0983333333333333,0,5.9,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,away,home,Foul: Personal,2015,0,Q4,00:05.5,0.0916666666666666,0,5.5,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,away,home,Foul: Personal,2015,0,Q4,00:03.4,0.0566666666666666,0,3.4,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400918,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:00.0,0.0,0,0.0,2015-03-06,MEM,LAL,Grizzlies,Lakers
21400920,IC,,,Instant Replay: Overturn Ruling,2015,0,Q4,01:08.0,1.1333333333333333,1,8.0,2015-03-06,WAS,MIA,Wizards,Heat
21400920,CC,away,home,Foul: Personal,2015,0,Q4,00:01.9,0.0316666666666666,0,1.9,2015-03-06,WAS,MIA,Wizards,Heat
21400920,CC,away,home,Foul: Personal,2015,0,Q4,00:01.6,0.0266666666666666,0,1.6,2015-03-06,WAS,MIA,Wizards,Heat
21400916,CC,home,away,Foul: Shooting,2015,0,Q4,01:37.0,1.6166666666666667,1,37.0,2015-03-06,BKN,PHX,Nets,Suns
21400916,INC,away,home,Foul: Personal,2015,0,Q4,00:45.7,0.7616666666666667,0,45.7,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,home,away,Foul: Offensive,2015,0,Q4,00:41.3,0.6883333333333332,0,41.3,2015-03-06,BKN,PHX,Nets,Suns
21400916,INC,away,home,Foul: Offensive,2015,0,Q4,00:22.4,0.3733333333333333,0,22.4,2015-03-06,BKN,PHX,Nets,Suns
21400916,INC,away,,Turnover: Traveling,2015,0,Q4,00:17.5,0.2916666666666667,0,17.5,2015-03-06,BKN,PHX,Nets,Suns
21400916,INC,home,away,Foul: Offensive,2015,0,Q5,03:09.0,3.15,3,9.0,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,home,away,Foul: Shooting,2015,0,Q5,03:01.0,3.0166666666666666,3,1.0,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,away,home,Foul: Shooting,2015,0,Q5,01:42.0,1.7,1,42.0,2015-03-06,BKN,PHX,Nets,Suns
21400916,INC,home,,Turnover: 5 Second Inbound,2015,0,Q5,00:17.5,0.2916666666666667,0,17.5,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,,,Instant Replay: Overturn Ruling,2015,0,Q5,00:14.3,0.2383333333333333,0,14.3,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,home,away,Foul: Personal,2015,0,Q5,00:14.1,0.235,0,14.1,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,home,away,Foul: Personal,2015,0,Q5,00:13.3,0.2216666666666666,0,13.3,2015-03-06,BKN,PHX,Nets,Suns
21400916,CC,home,away,Foul: Personal,2015,0,Q5,00:04.5,0.075,0,4.5,2015-03-06,BKN,PHX,Nets,Suns
21400913,CC,home,away,Foul: Personal,2015,0,Q4,01:13.0,1.2166666666666668,1,13.0,2015-03-06,ORL,SAC,Magic,Kings
21400913,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:52.7,0.8783333333333334,0,52.7,2015-03-06,ORL,SAC,Magic,Kings
21400913,INC,home,away,Foul: Personal,2015,0,Q4,00:44.9,0.7483333333333333,0,44.9,2015-03-06,ORL,SAC,Magic,Kings
21400913,CC,home,away,Foul: Shooting,2015,0,Q4,00:32.7,0.545,0,32.7,2015-03-06,ORL,SAC,Magic,Kings
21400913,CC,away,home,Foul: Personal,2015,0,Q4,00:06.0,0.1,0,6.0,2015-03-06,ORL,SAC,Magic,Kings
21400913,CC,away,home,Foul: Personal,2015,0,Q4,00:03.0,0.05,0,3.0,2015-03-06,ORL,SAC,Magic,Kings
21400913,CC,away,home,Foul: Personal,2015,0,Q4,00:01.2,0.02,0,1.2,2015-03-06,ORL,SAC,Magic,Kings
21400927,CC,home,away,Foul: Shooting,2015,0,Q4,01:22.0,1.3666666666666667,1,22.0,2015-03-07,PHI,ATL,76ers,Hawks
21400927,CC,away,home,Foul: Shooting,2015,0,Q4,00:13.6,0.2266666666666666,0,13.6,2015-03-07,PHI,ATL,76ers,Hawks
21400926,CC,home,away,Foul: Shooting,2015,0,Q4,00:51.7,0.8616666666666667,0,51.7,2015-03-07,NYK,IND,Knicks,Pacers
21400926,INC,away,home,Foul: Shooting,2015,0,Q4,00:43.7,0.7283333333333334,0,43.7,2015-03-07,NYK,IND,Knicks,Pacers
21400926,CC,home,away,Foul: Personal,2015,0,Q4,00:17.4,0.29,0,17.4,2015-03-07,NYK,IND,Knicks,Pacers
21400923,INC,away,home,Foul: Offensive,2015,0,Q4,01:38.0,1.6333333333333333,1,38.0,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400923,CC,home,away,Foul: Shooting,2015,0,Q4,01:37.0,1.6166666666666667,1,37.0,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400923,INC,home,away,Foul: Shooting,2015,0,Q4,01:07.0,1.1166666666666667,1,7.0,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400923,CC,home,away,Foul: Personal,2015,0,Q4,00:26.5,0.4416666666666666,0,26.5,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400923,CC,away,home,Foul: Personal,2015,0,Q4,00:24.5,0.4083333333333333,0,24.5,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400923,CC,away,home,Foul: Personal,2015,0,Q4,00:11.0,0.1833333333333333,0,11.0,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400923,CC,away,home,Foul: Personal,2015,0,Q4,00:08.8,0.1466666666666666,0,8.8,2015-03-07,NOP,MEM,Pelicans,Grizzlies
21400925,CC,,,Instant Replay: Support Ruling,2015,0,Q4,01:51.0,1.85,1,51.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,home,away,Foul: Personal,2015,0,Q4,01:13.0,1.2166666666666668,1,13.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,home,away,Foul: Shooting,2015,0,Q4,01:07.0,1.1166666666666667,1,7.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,away,home,Foul: Shooting,2015,0,Q5,02:19.0,2.3166666666666664,2,19.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,,,Instant Replay: Support Ruling,2015,0,Q5,01:41.0,1.6833333333333331,1,41.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,away,home,Foul: Personal,2015,0,Q5,01:41.0,1.6833333333333331,1,41.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,away,home,Foul: Shooting,2015,0,Q5,01:32.0,1.5333333333333332,1,32.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,home,away,Foul: Personal,2015,0,Q5,00:42.0,0.7,0,42.0,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,away,home,Foul: Personal,2015,0,Q5,00:31.2,0.52,0,31.2,2015-03-07,MIA,SAC,Heat,Kings
21400925,IC,home,away,Foul: Shooting,2015,0,Q5,00:27.1,0.4516666666666667,0,27.1,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,away,home,Foul: Personal,2015,0,Q5,00:25.3,0.4216666666666667,0,25.3,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,away,home,Foul: Personal,2015,0,Q5,00:16.6,0.2766666666666666,0,16.6,2015-03-07,MIA,SAC,Heat,Kings
21400925,CC,home,away,Foul: Loose Ball,2015,0,Q5,00:11.1,0.185,0,11.1,2015-03-07,MIA,SAC,Heat,Kings
21400929,CC,home,away,Foul: Personal,2015,0,Q4,01:59.0,1.9833333333333327,1,59.0,2015-03-07,MIL,WAS,Bucks,Wizards
