attendance,away,away_score,away_team,date,gid,home,home_score,home_team,national_tv,playoff,season,beta,delta,home_IC,home_INC,away_IC,away_INC,n_plays,whos_favored,spread,id_spread,home_fav,home_covered,score_diff,period,nwg,ar,nwg_direction,spread_signed,cover_check,id_spread_match,score_home_match,score_away_match
14420,TOR,104,Raptors,2015-03-24,21401054,DET,108,Pistons,no,0,2015,0,1,0,0,0,1,13,away,4.0,0.0,False,1.0,4.0,Pre-COVID,-1,0.0,NWG < 0,4.0,1.0,True,True,True
15091,BKN,91,Nets,2015-03-25,21401060,CHA,88,Hornets,no,0,2015,0,1,0,0,0,1,12,home,3.5,0.0,True,0.0,-3.0,Pre-COVID,-1,0.0,NWG < 0,-3.5,0.0,True,True,True
18514,IND,103,Pacers,2015-03-25,21401063,WAS,101,Wizards,no,0,2015,1,0,0,1,0,0,6,home,3.0,0.0,True,0.0,-2.0,Pre-COVID,1,1.0,NWG > 0,-3.0,0.0,True,True,True
13438,LAL,101,Lakers,2015-03-25,21401067,MIN,99,Timberwolves,no,0,2015,3,2,0,3,1,2,21,home,1.0,0.0,True,0.0,-2.0,Pre-COVID,1,0.6,NWG > 0,-1.0,0.0,True,True,True
14068,PHI,99,76ers,2015-03-25,21401069,DEN,85,Nuggets,no,0,2015,2,0,0,2,0,0,12,home,11.5,0.0,True,0.0,-14.0,Pre-COVID,2,1.0,NWG > 0,-11.5,0.0,True,True,True
19911,POR,92,Trail Blazers,2015-03-25,21401070,UTA,89,Jazz,no,0,2015,2,0,0,2,0,0,13,home,1.5,0.0,True,0.0,-3.0,Pre-COVID,2,1.0,NWG > 0,-1.5,0.0,True,True,True
15366,IND,107,Pacers,2015-03-26,21401073,MIL,111,Bucks,no,0,2015,0,0,0,0,0,1,11,home,4.0,2.0,True,,4.0,Pre-COVID,0,,NWG = 0,-4.0,0.0,False,True,True
19812,BOS,96,Celtics,2015-03-27,21401079,NYK,92,Knicks,no,0,2015,0,0,0,0,0,0,12,away,11.0,0.0,False,1.0,-4.0,Pre-COVID,0,,NWG = 0,11.0,1.0,True,True,True
18441,CHA,107,Hornets,2015-03-27,21401076,WAS,110,Wizards,no,0,2015,2,2,0,2,0,3,36,home,5.0,0.0,True,0.0,3.0,Pre-COVID,0,0.5,NWG = 0,-5.0,0.0,True,True,True
17219,POR,87,Trail Blazers,2015-03-27,21401086,PHX,81,Suns,no,0,2015,1,0,0,1,0,0,6,away,1.0,1.0,False,0.0,-6.0,Pre-COVID,1,1.0,NWG > 0,1.0,0.0,True,True,True
17358,DAL,99,Mavericks,2015-03-29,21401099,IND,104,Pacers,no,0,2015,1,2,0,1,0,2,10,home,2.5,1.0,True,1.0,5.0,Pre-COVID,-1,0.3333333333333333,NWG < 0,-2.5,1.0,True,True,True
17732,LAL,99,Lakers,2015-03-29,21401093,BKN,107,Nets,no,0,2015,2,0,0,2,0,0,5,home,8.0,2.0,True,,8.0,Pre-COVID,2,1.0,NWG > 0,-8.0,0.0,False,True,True
20562,PHI,86,76ers,2015-03-29,21401092,CLE,87,Cavaliers,no,0,2015,1,0,0,1,0,0,11,home,17.0,0.0,True,0.0,1.0,Pre-COVID,1,1.0,NWG > 0,-17.0,0.0,True,True,True
19800,HOU,96,Rockets,2015-03-30,21401104,TOR,99,Raptors,NBATV,0,2015,1,0,0,1,0,0,8,home,2.0,1.0,True,1.0,3.0,Pre-COVID,1,1.0,NWG > 0,-2.0,1.0,True,True,True
13501,LAL,113,Lakers,2015-03-30,21401102,PHI,111,76ers,no,0,2015,1,0,0,1,0,1,20,home,5.0,0.0,True,0.0,-2.0,Pre-COVID,1,1.0,NWG > 0,-5.0,0.0,True,True,True
19601,GSW,110,Warriors,2015-03-31,21401111,LAC,106,Clippers,TNT,0,2015,0,0,0,0,0,0,15,home,3.5,0.0,True,0.0,-4.0,Pre-COVID,0,,NWG = 0,-3.5,0.0,True,True,True
16756,IND,106,Pacers,2015-03-31,21401108,BKN,111,Nets,no,0,2015,0,2,0,0,0,2,12,away,1.5,0.0,False,1.0,5.0,Pre-COVID,-2,0.0,NWG < 0,1.5,1.0,True,True,True
